year,season,year_season,city,total_population,total_population_increase,births,deaths,natural_increase_rate,immigrants,emigrants,social_increase_rate,total_increase_rate
103,3,1033,台南市,"2,777,461",165,"5,594","5,047",0.2,"34,404","34,786",-0.14,0.06
103,3,1033,高雄市,"9,240,718","4,131","19,467","17,896",0.17,"103,331","100,771",0.28,0.45
103,3,1033,台灣省,"458,784",13,917,928,-0.02,"6,065","6,041",0.05,0.03
103,3,1033,宜蘭縣,"2,054,260","5,251","4,343","2,883",0.71,"29,728","25,937",1.85,2.56
103,3,1033,新竹縣,"536,111","2,260","1,500",842,1.23,"7,138","5,536",2.99,4.22
103,3,1033,苗栗縣,"566,918",472,"1,449","1,163",0.5,"5,298","5,112",0.33,0.83
103,3,1033,彰化縣,"1,292,126","-1,404","3,064","2,440",0.48,"8,731","10,759",-1.57,-1.09
103,3,1033,南投縣,"515,081",-703,883,"1,126",-0.47,"4,236","4,696",-0.89,-1.36
103,3,1033,雲林縣,"706,688",-594,"1,370","1,732",-0.51,"5,756","5,988",-0.33,-0.84
103,3,1033,嘉義縣,"526,028",-908,737,"1,327",-1.12,"4,279","4,597",-0.6,-1.72
103,3,1033,屏東縣,"849,326","-1,201","1,361","2,002",-0.75,"7,486","8,046",-0.66,-1.41
103,3,1033,台東縣,"224,931",-110,447,595,-0.66,"2,491","2,453",0.17,-0.49
103,3,1033,花蓮縣,"333,531",-99,686,828,-0.43,"5,032","4,989",0.13,-0.3
103,3,1033,澎湖縣,"101,482",370,239,263,-0.24,"1,704","1,310",3.9,3.66
103,3,1033,基隆市,"373,597",-189,533,703,-0.45,"5,491","5,510",-0.05,-0.5
103,3,1033,新竹市,"431,029",988,"1,401",618,1.82,"6,477","6,272",0.48,2.3
103,3,1033,嘉義市,"270,826",-15,537,446,0.34,"3,419","3,525",-0.39,-0.05
103,3,1033,福建省,"138,637","2,264",413,164,1.81,"3,829","1,814",14.65,16.46
103,3,1033,金門縣,"126,156","2,209",365,154,1.69,"3,568","1,570",15.97,17.66
103,3,1033,連江縣,"12,481",55,48,10,3.06,261,244,1.37,4.43
103,2,1032,新北市,"3,956,728","17,458","9,189","5,402",0.96,"50,686","37,015",3.46,4.42
103,2,1032,台北市,"2,693,672","16,126","6,855","4,219",0.98,"41,456","27,966",5.01,5.99
103,2,1032,桃園市,"2,708,338","13,765","6,102","3,911",0.81,"36,752","25,178",4.28,5.09
103,2,1032,台中市,"1,883,042","6,077","3,635","3,479",0.08,"20,757","14,836",3.14,3.22
103,2,1032,台南市,"2,777,296","9,806","5,323","4,909",0.15,"34,855","25,463",3.38,3.53
103,2,1032,高雄市,"9,236,587","39,301","18,103","17,859",0.03,"116,049","76,992",4.23,4.26
103,2,1032,台灣省,"458,771","2,594",818,871,-0.12,"7,031","4,384",5.77,5.65
